Date,Price,Open,High,Low,Vol.,Change %
09/06/2024,"8,190.00","8,177.00","8,196.00","8,168.00",0.56K,0.16%
09/05/2024,"8,177.00","8,160.00","8,189.00","8,080.00",0.47K,0.32%
09/04/2024,"8,151.00","8,115.00","8,192.00","8,050.00",0.73K,0.11%
09/03/2024,"8,142.00","8,120.00","8,175.00","8,120.00",1.01K,-0.21%
09/02/2024,"8,159.00","8,180.00","8,195.00","8,102.00",1.66K,-0.43%
08/30/2024,"8,194.00","8,188.00","8,205.00","8,180.00",6.79K,0.16%
08/29/2024,"8,181.00","8,160.00","8,207.00","8,151.00",9.51K,0.02%
08/28/2024,"8,179.00","8,175.00","8,195.00","8,167.00",8.70K,0.01%
08/27/2024,"8,178.00","8,180.00","8,192.00","8,164.00",19.14K,0.52%
08/26/2024,"8,136.00","8,108.00","8,165.00","8,096.00",30.83K,0.10%
08/23/2024,"8,128.00","8,163.00","8,163.00","8,095.00",19.44K,-0.49%
08/22/2024,"8,168.00","8,179.00","8,199.00","8,136.00",34.59K,0.17%
08/21/2024,"8,154.00","8,137.00","8,180.00","8,121.00",28.45K,0.18%
08/20/2024,"8,139.00","8,186.00","8,186.00","8,086.00",60.41K,-0.28%
08/19/2024,"8,162.00","8,145.00","8,186.00","8,136.00",62.50K,-0.29%
08/16/2024,"8,186.00","8,180.00","8,220.00","8,153.00",130.66K,0.36%
08/15/2024,"8,157.00","8,190.00","8,194.00","8,118.00",168.36K,-1.85%
08/14/2024,"8,311.00","8,311.00","8,311.00","8,311.00",0.00K,0.00%
08/13/2024,"8,311.00","8,311.00","8,311.00","8,311.00",,0.00%
08/12/2024,"8,311.00","8,311.00","8,311.00","8,311.00",,0.00%
08/09/2024,"8,311.00","8,311.00","8,311.00","8,311.00",,0.00%
08/08/2024,"8,311.00","8,311.00","8,311.00","8,311.00",,0.00%
08/07/2024,"8,311.00","8,311.00","8,311.00","8,311.00",0.00K,0.00%
08/06/2024,"8,311.00","8,311.00","8,311.00","8,311.00",0.00K,0.00%
08/05/2024,"8,311.00","8,311.00","8,311.00","8,311.00",,0.00%
08/02/2024,"8,311.00","8,311.00","8,311.00","8,311.00",,0.00%
08/01/2024,"8,311.00","8,335.00","8,348.00","8,234.00",0.03K,0.91%
07/31/2024,"8,236.00","8,229.00","8,260.00","8,205.00",0.08K,-0.15%
07/30/2024,"8,248.00","8,238.00","8,276.00","8,213.00",0.06K,-0.13%
07/29/2024,"8,259.00","8,263.00","8,268.00","8,229.00",0.07K,-0.33%
07/26/2024,"8,286.00","8,281.00","8,298.00","8,272.00",0.04K,-0.02%
07/25/2024,"8,288.00","8,288.00","8,296.00","8,279.00",0.01K,0.30%
07/24/2024,"8,263.00","8,296.00","8,296.00","8,255.00",0.07K,-1.22%
07/23/2024,"8,365.00","8,347.00","8,436.00","8,305.00",0.06K,0.59%
07/22/2024,"8,316.00","8,323.00","8,351.00","8,306.00",0.18K,-0.40%
07/19/2024,"8,349.00","8,342.00","8,357.00","8,337.00",0.03K,0.04%
